,IBIZA,jimmyjou2006,Kazmier,EQUP,jyekid,firemm444,kutkin,jack19931993,max96998,providence,wpd,jtch,dwiee,stocktonty,CW4,samsam80821,shellback,heavensun,njunju,takechance,kuchibu,Leaflock,kaede0711,cross980115,yiersan,roger2623900,MoDoHiYaKu,HSKAO,semicoma,o0991758566,Aggro,CMPunk,ooxxman,vvnbear,swingingbear,ken720331,paul5566,Lenyog,monmo,KKyosuke,shwkz,iamaq18c,nkfcc,mhkt,AlwaySmile,oops66,pornstar,lon0623,teruhyde12,Blazeleo819
不支持勇士,True,True,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,False
不支持國王,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False
不支持太陽,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持尼克,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True
不支持巫師,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
不支持快艇,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,True,False,True,False
不支持拓荒者,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持暴龍,True,True,False,True,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False
不支持李文斯頓,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持林書豪,False,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持活塞,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持湖人,True,False,False,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,True
不支持火箭,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True
不支持灰熊,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持灰狼,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,True,False
不支持熱火,True,True,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,True
不支持爵士,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持獨行俠,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持籃網,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
不支持老鷹,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持表弟,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持賽爾提克,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持金塊,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
不支持雷霆,True,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持魔術,False,False,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True
不支持鵜鶘,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
支持Anthony Bennett ,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True
支持CP3,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持Capela,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
支持Carmelo Anthony,False,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,False
支持Dwight Howard,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False
支持Giannis,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False
支持Iguodala,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持James Harden,True,False,True,True,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False
支持Kawhi Leonard,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True
支持Kevin Durant,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True
支持Kobe Bryant,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持Lebron James,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True
支持Michael Jordan,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False
支持Paul George,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
支持Russell Westbrook,False,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,True,False,True,False
支持Shaq,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持Smart,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持Stephen Curry,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False
支持Zion Williamson,False,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True
支持公牛,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持公鹿,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
支持其他,False,False,True,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True
支持勇士,False,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,True,False,True
支持國王,True,False,True,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True
支持太陽,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持尼克,False,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False
支持巫師,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
支持快艇,False,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True
支持拓荒者,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持暴龍,False,False,True,False,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True
支持林書豪,True,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持湖人,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,True,True,False
支持火箭,True,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False
支持灰熊,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持灰狼,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True
支持熱火,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False
支持獨行俠,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持籃網,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
支持表弟,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持金塊,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True
支持雷霆,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持騎士,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
支持魔術,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False
支持鵜鶘,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True
沒在看Anthony Davis,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Kobe Bryant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Kuzma,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Marcus Smart,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Paul George,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
沒在看Shaq,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Smart,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看Wade,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
沒在看林書豪,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
